"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"DUSP8",71.6010424455628,-1.84393831332649,0.512708567425955,-3.59646479594432,0.000322571215199653,0.00280006419672001,"DUSP8"
"DUT",291.162987331362,-1.35825661495606,0.491875446606767,-2.7613832410747,0.00575570925956851,0.0268075419122954,"DUT"
"DVL1",449.323087367501,-3.15897005094254,0.581182178132644,-5.43542140451107,5.46670781827878e-08,1.9122927576958e-06,"DVL1"
"DVL2",185.809426767764,-5.03829983141212,0.473605353655005,-10.6381817530767,1.97954490014787e-26,4.93376822050604e-23,"DVL2"
"DVL3",551.280162645403,-2.37919193557297,0.516830170135085,-4.60343082322595,4.15587279280312e-06,7.86185461249538e-05,"DVL3"
"DYNC1LI2",4531.51254141696,-1.74189430793011,0.435764739411446,-3.99732734292075,6.40616849198181e-05,0.000759860758843696,"DYNC1LI2"
"DYNC2H1",2143.89925242008,1.72961219475131,0.469068817419185,3.68733143308828,0.000226618115259623,0.00210262382511011,"DYNC2H1"
"DYNC2I2",155.001153473176,-5.28202972068706,0.623302160996945,-8.47426826218392,2.36561736065904e-17,8.5586152970849e-15,"DYNC2I2"
"DYNLL2",1328.35954903313,-2.30506383426777,0.40307870614637,-5.71864452058336,1.07377167587201e-08,4.80043350789509e-07,"DYNLL2"
"DYNLRB1",631.143556352647,-1.41921403941985,0.383434909023353,-3.70131671900905,0.000214483555253972,0.00201241030946508,"DYNLRB1"
"DYNLT4",67.9276654645806,-2.00952181450014,0.659148142697083,-3.04866491207522,0.00229860713368327,0.0132118557620383,"DYNLT4"
"DYNLT5",41.9520015213102,4.00492313828405,1.28897936312285,3.10704985111723,0.00188964530201816,0.0113384404685345,"DYNLT5"
"DYRK1A",2926.43691366612,0.801036207379404,0.240262422477813,3.33400537261867,0.000856050042500958,0.00603934746175355,"DYRK1A"
"DYRK1B",130.816120434942,-3.36727447720966,0.570685710987225,-5.90040089033356,3.62619393712167e-09,1.83509342416927e-07,"DYRK1B"
"DYSF",609.139596548108,2.34818834600379,0.398583006687753,5.89134084144069,3.83074503958932e-09,1.91912626493396e-07,"DYSF"
"DZIP3",537.276896057088,1.44984766380976,0.50706100424557,2.85931604219282,0.00424555577344959,0.0213122196794591,"DZIP3"
"E2F3",374.67093260394,1.38546298242958,0.339364974751997,4.08251612719331,4.45507193789111e-05,0.000563282684651939,"E2F3"
"E2F5",222.038496675599,1.81357705628791,0.67483136706749,2.68745222109175,0.00719994019814223,0.0320803592426275,"E2F5"
"E2F7",22.2992878193917,2.80910549999785,1.0993689856771,2.55519806051988,0.010612739122715,0.0431939998709561,"E2F7"
"E2F8",36.6462342904385,2.91604470599707,0.748128908921513,3.89778375253641,9.70770430781057e-05,0.00106411168880393,"E2F8"
"E4F1",236.601765653625,-2.84247764691255,0.565158246678893,-5.02952520575634,4.91695864086065e-07,1.24466276651342e-05,"E4F1"
"EAF2",262.50175151453,3.45085128351829,0.685925311662054,5.0309432016098,4.88072736331558e-07,1.23812751777544e-05,"EAF2"
"EBLN2",62.4009073832984,2.0764566304154,0.530172489680903,3.91656804310078,8.9818473237949e-05,0.000997710606067669,"EBLN2"
"EBNA1BP2",247.80741214858,-1.08956477129649,0.330476948339467,-3.29694635819889,0.000977421670034531,0.00671931463587452,"EBNA1BP2"
"ECH1",326.285896011722,-2.51300863231058,0.476426967253035,-5.27469854781729,1.3297448436249e-07,4.06030358913276e-06,"ECH1"
"ECHDC1",767.812491582181,0.966472780005696,0.317732294541667,3.0417832767042,0.00235181156465288,0.0134671943674939,"ECHDC1"
"ECMXP",17.4706546045852,-3.40779474894787,1.0435017310912,-3.26572984731353,0.0010918235747452,0.00734971987064301,"ECMXP"
"ECPAS",2803.87877042937,1.2325726735406,0.35321661965726,3.48956590643049,0.00048380574174156,0.00386482479350359,"ECPAS"
"ECSIT",285.611744291253,-1.4603188301899,0.457268307176634,-3.19357105504758,0.00140524749862986,0.00899897397255238,"ECSIT"
"ECT2",376.665315436713,1.42441533794621,0.549229790256183,2.5934779271201,0.00950106377338791,0.0397402371675229,"ECT2"
"EDA",155.067193461854,-1.33210922182795,0.490539477965007,-2.71560043924329,0.00661557061333392,0.0300199960080257,"EDA"
"EDARADD",124.531167316687,-2.65052650011701,0.711839005173507,-3.72349152105111,0.000196486462817838,0.00187819655497358,"EDARADD"
"EDDM3CP",16.079434804405,3.67806929153813,1.3941419117007,2.63823163242492,0.00833396350463132,0.0359366129582275,"EDDM3CP"
"EDEM1",1955.09276693645,2.11479249338598,0.41543604355769,5.09053686164403,3.5705115039663e-07,9.49232385034453e-06,"EDEM1"
"EDEM3",1510.54502127148,1.37051860677888,0.377249581219657,3.63292280497161,0.000280228873758647,0.00250335282879645,"EDEM3"
"EDF1",1023.00376593691,-1.508097064574,0.367078395071226,-4.10837871371148,3.98446357795028e-05,0.000513218470805883,"EDF1"
"EDN1",64.8554282267543,2.06590099041431,0.779685282957062,2.64966010718979,0.00805727850526342,0.0350773091957309,"EDN1"
"EDNRA",231.418717264668,0.957096329953094,0.340139950890916,2.81383097588568,0.00489549613883793,0.0236576096733615,"EDNRA"
"EDRF1",660.688232470844,1.7130367576846,0.424337068441101,4.03697174978805,5.41455860065715e-05,0.000661930618874942,"EDRF1"
"EED",446.416538452241,1.35487200766746,0.297862949072368,4.54864229299724,5.39931297000684e-06,9.81375581667879e-05,"EED"
"EEF1A1P32",33.4923223379989,3.27686821129776,1.3037504547181,2.51341673511154,0.0119567999432187,0.0472701433158977,"EEF1A1P32"
