"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CBY3",0.921279076127171,0.876211251267254,3.40075509072096,0.257651970780847,0.796675516539407,NA
"CCDC116",2.35896150799499,-1.10480049762419,3.18191758633755,-0.34721216613779,0.728431931491043,NA
"CCDC137P",1.76810392652,3.11211712041993,2.30128041205498,1.35234155043317,0.176266078145173,NA
"CCDC179",1.5620241932563,2.51893460564267,2.40285009169288,1.0483111761117,0.294495262126179,NA
"CCDC185",8.27462518715052,-2.53927200549584,2.71524337914,-0.935191307344281,NA,NA
"CCDC54",1.78126855385771,-1.34260815660458,2.72086167549879,-0.49344961880815,0.621694929949791,NA
"CCDC74BP1",1.28694238779181,1.72312488820011,3.38455221822041,0.509114582107445,0.610671911183309,NA
"CCK",1.64016098242887,3.54645574680557,3.39430099374934,1.04482653522373,0.296103148499002,NA
"CCKAR",4.58810735957847,-1.82625485721283,2.91129684023322,-0.627299433013686,NA,NA
"CCKBR",2.6943609365503,1.42113316391684,3.33374799641996,0.4262869195401,NA,NA
"CCL11",1.35824282099201,3.29323238328875,3.39825150281002,0.969096130926617,0.332497227963447,NA
"CCL26",1.92623738499846,2.89954978288308,2.64084840978901,1.09796146273869,0.272221317427355,NA
"CCL3L3",1.37313602836325,3.34538543750462,3.39738299293639,0.984694820825358,0.324773997512419,NA
"CCNA1",2.30528505236085,3.53596835236868,2.08380159579151,1.69688340747507,0.0897187055852317,NA
"CCNB1IP1P1",1.35697555791109,0.654533388132573,3.38043015619367,0.193624289776651,0.846470077614775,NA
"CCNB1IP1P3",1.53851077168347,2.93826794692007,3.38608368061134,0.867748178742464,0.385532204609332,NA
"CCNG1P1",1.26692973211858,1.95410967563117,2.98166883160915,0.655374485226309,0.512226674780768,NA
"CCNYL7",14.7453309670181,0.770262313666287,1.63812595739433,0.470209455011321,NA,NA
"CCT8L1P",1.16527666696402,1.81869363841504,2.98868876520417,0.608525604803414,0.54283892921559,NA
"CD177",289.176364387625,7.50382270879102,2.72216492420858,2.75656432204328,NA,NA
"CD1A",2.54123341589434,4.22427033505826,3.38648584857671,1.24739051746921,NA,NA
"CD207",2.23780235009257,-2.53859115681954,3.18613416715628,-0.796762164942134,0.425589172515479,NA
"CD46P1",13.9819206326792,-2.69871668246539,2.04938558609441,-1.31684183824501,NA,NA
"CD52",231.082710807181,2.91388249566064,0.830000445038746,3.51069991959415,NA,NA
"CD5L",1.24185595300637,2.63090201114384,2.89137656542975,0.909913306554316,0.362868231636949,NA
"CD99P1",6929.30603408222,-5.94549203892393,1.35535347055515,-4.38667267844797,NA,NA
"CDC14C",54.3829348200088,1.63631316390035,1.13103912053107,1.44673436506071,NA,NA
"CDC37P1",0.509467409566199,-3.2255975634256,3.48714324370242,-0.924997150389747,0.354967389723877,NA
"CDC42BPG",784.909259199598,2.06071583051292,1.49960806132113,1.37416961382394,NA,NA
"CDC42P3",1.79434506086987,3.6700378909964,3.26115467621911,1.12537989006131,0.260428089008128,NA
"CDCA4P4",5.12210756167521,-0.703624965656046,2.78437593967209,-0.252704728420729,NA,NA
"CDH19",85.8941716473096,1.55272318391515,1.01250318637548,1.53354893575548,NA,NA
"CDH23",2050.68604457488,-0.747120222576823,0.67619071505902,-1.10489571349943,NA,NA
"CDHR2",1.96954802985826,-1.35726789164666,2.92525321372929,-0.463983044365698,0.642659893634054,NA
"CDK12",3457.27685718222,-1.71663536365039,0.73563702866822,-2.33353582915497,NA,NA
"CDK2AP2P2",0.718869867203042,-2.81924624616734,3.47130183495387,-0.812158198915252,0.416700861785626,NA
"CDRT15L2",1.93029491318955,1.28526284351898,3.35811097883301,0.382733879737836,0.701917091307361,NA
"CDRT15P1",3.81048967277548,0.225031609807679,1.95750505679302,0.114958379814532,NA,NA
"CDRT15P12",0.604367642766725,1.54096675553942,3.42074062349794,0.450477520848592,0.652366159298475,NA
"CDRT15P9",2.21645283871904,4.01816769357467,3.10225135949874,1.29524246359712,0.195236600450708,NA
"CDRT4",176.092872816585,-0.0900734339982898,0.731040574230095,-0.123212633024031,NA,NA
"CDX1",0.723759372525873,2.43900518396688,3.41760869496514,0.71365840903906,0.475438430365677,NA
"CDX2",0.883435951368104,0.792667952568685,3.40349117736892,0.232898489010176,0.81584023177983,NA
"CEACAM22P",60.6481254973687,-1.51523370497598,0.777518444463316,-1.94880740870639,NA,NA
"CEACAM4",19.2146622841366,3.64028056147016,1.54685119594363,2.35334890066751,NA,NA
"CEACAMP10",22.6247657256874,-2.06179725747907,1.65354078823526,-1.24689833607281,NA,NA
"CEACAMP3",1.35676359292728,3.32860366229986,3.39765922671248,0.979675547250383,0.327246300152868,NA
"CEACAMP5",0.826873716601121,0.660087441593169,3.40813948707445,0.193679702399677,0.846426686030148,NA
"CEBPE",1.69045599633672,0.987425002767108,2.02598409197174,0.487380432393287,0.625988757746067,NA
"CELF6",43.7500135863409,-0.828779829946849,1.62414703684033,-0.51028620632722,NA,NA
"CENPNP2",8.3325050688619,-5.22244660450513,2.04149043518587,-2.55815384412009,NA,NA
"CENPP",262.679347845928,1.07828235599533,0.67813503188904,1.59007027404502,NA,NA
"CES1P1",12.0600911343392,2.25307189390699,1.56154473020037,1.44284813001666,NA,NA
"CES5A",8.60183236952314,-4.4100663062324,2.3654748419546,-1.86434716109191,NA,NA
"CES5AP1",0.970682720846179,2.85290878398967,3.40689703876802,0.837392134697831,0.402372185375068,NA
"CFAP47",9.88413864010515,-3.24063953146691,1.98185740816858,-1.63515271992325,NA,NA
"CFAP73",1.68157840731798,0.501400234103321,2.3187603759911,0.216236330107638,0.828803536037378,NA
"CFAP77",1.0633735404958,-0.237542674920513,3.38994080645843,-0.0700728090791297,0.944135708700791,NA
"CFAP99",2.42869795272935,0.00545924579207948,2.09894236917437,0.00260095077990488,0.997924743869138,NA
"CFHR5",9.82494488273417,-7.31295356909994,3.34262654106365,-2.18778660411549,NA,NA
"CFL1P3",32.441126705336,2.75627504249059,1.43330316247757,1.92302306633173,NA,NA
"CHCHD2P11",1.83910567107597,2.4932010350444,2.19206918345608,1.13737333377113,0.255382249976419,NA
"CHCHD2P6",0.604367642766725,1.54096675553942,3.42074062349794,0.450477520848592,0.652366159298475,NA
"CHCHD3P2",1.05523484765385,-0.999328271207796,3.38239417882188,-0.295449973709413,0.767650162618947,NA
"CHEK2P2",2.09286452201794,1.50934100593449,2.20991803993199,0.682985060378503,0.494616282821862,NA
"CHRM1",2.25832385589053,-2.81525890697749,2.79055865035149,-1.00885136623912,0.313045922216047,NA
"CHRM3",1519.4724474764,2.66996681155871,0.867449205385803,3.07795176360929,NA,NA
"CHRM4",1.78400351926962,2.44579762076959,2.21105898938699,1.10616570272857,0.26865480477092,NA
"CHRM5",118.626879716025,1.25088880570232,0.650830121896477,1.92198972299762,NA,NA
"CHRNA9",1.07754349653254,2.94284910748964,3.404923919789,0.864292177098632,0.387427406507142,NA
"CHRNB3",2.0170579947411,3.83943759595364,3.25082837277101,1.18106437980941,0.237577148946391,NA
"CHRNG",197.446130166922,7.10318387014523,2.49020317628159,2.85245153399564,NA,NA
"CHST13",4.37280390629343,-1.55617898567032,2.35319497801851,-0.661304736839395,NA,NA
"CIAO2AP1",1.36198246245731,1.3705296502694,2.83826481308794,0.482875890913895,0.629183861112173,NA
"CIAO2AP2",1.70781748973352,-3.86826750077871,3.42669126197392,-1.12886373619502,0.25895532061897,NA
